"Notes"	"Year"	"Year Code"	"County"	"County Code"	Births	% of Total Births	Average Birth Weight	Standard Deviation for Average Birth Weight	Average Age of Mother	Standard Deviation for Average Age of Mother	Average LMP Gestational Age	Standard Deviation for Average LMP Gestational Age
	"2013"	"2013"	"Los Angeles County, CA"	"06037"	9056	2.04%	1989.86	526.54	29.77	6.80	34.41	4.11
	"2013"	"2013"	"Madera County, CA"	"06039"	131	0.03%	2004.06	537.49	27.59	7.04	34.16	4.66
	"2013"	"2013"	"Marin County, CA"	"06041"	157	0.04%	2056.92	452.14	33.47	6.43	34.61	3.34
	"2013"	"2013"	"Merced County, CA"	"06047"	266	0.06%	2025.10	480.75	27.40	6.26	34.87	3.77
	"2013"	"2013"	"Monterey County, CA"	"06053"	372	0.08%	2017.81	491.68	28.25	6.45	34.96	3.92
	"2013"	"2013"	"Napa County, CA"	"06055"	98	0.02%	1935.96	495.33	30.81	6.93	34.33	3.79
	"2013"	"2013"	"Orange County, CA"	"06059"	2332	0.52%	2001.88	510.66	30.78	6.41	34.33	3.92
	"2013"	"2013"	"Placer County, CA"	"06061"	182	0.04%	1931.29	573.74	31.14	5.78	33.66	4.20
	"2013"	"2013"	"Riverside County, CA"	"06065"	2039	0.46%	1984.79	522.66	28.94	6.63	34.26	4.10
	"2013"	"2013"	"Sacramento County, CA"	"06067"	1296	0.29%	1968.82	536.65	28.96	6.63	34.31	4.14
	"2013"	"2013"	"San Bernardino County, CA"	"06071"	2213	0.50%	1960.08	552.34	28.26	6.47	34.20	4.47
	"2013"	"2013"	"San Diego County, CA"	"06073"	2816	0.63%	1976.43	517.71	29.83	6.55	34.22	3.94
	"2013"	"2013"	"San Francisco County, CA"	"06075"	646	0.15%	2035.91	482.69	33.15	6.14	34.57	3.59
	"2013"	"2013"	"San Joaquin County, CA"	"06077"	718	0.16%	1947.86	572.19	28.13	6.52	33.95	4.55
	"2013"	"2013"	"San Luis Obispo County, CA"	"06079"	175	0.04%	2025.40	455.56	30.37	6.94	34.87	3.74
	"2013"	"2013"	"San Mateo County, CA"	"06081"	571	0.13%	2027.11	481.02	32.19	6.44	34.61	3.59
	"2013"	"2013"	"Santa Barbara County, CA"	"06083"	374	0.08%	2007.79	478.81	28.86	6.46	34.56	3.87
	"2013"	"2013"	"Santa Clara County, CA"	"06085"	1683	0.38%	2038.85	474.00	31.25	5.91	34.69	3.58
	"2013"	"2013"	"Santa Cruz County, CA"	"06087"	161	0.04%	1911.96	565.98	30.45	7.33	33.94	4.38
	"2013"	"2013"	"Shasta County, CA"	"06089"	144	0.03%	2053.62	447.51	28.00	6.00	34.99	3.51
	"2013"	"2013"	"Solano County, CA"	"06095"	384	0.09%	1976.58	506.20	28.85	6.33	34.10	4.06
	"2013"	"2013"	"Sonoma County, CA"	"06097"	280	0.06%	2000.51	511.33	30.17	7.22	34.17	3.89
	"2013"	"2013"	"Stanislaus County, CA"	"06099"	475	0.11%	1908.98	567.30	28.37	6.38	33.88	4.55
	"2013"	"2013"	"Tulare County, CA"	"06107"	520	0.12%	1950.35	562.38	27.10	6.58	34.02	4.52
	"2013"	"2013"	"Ventura County, CA"	"06111"	658	0.15%	1932.75	538.73	30.43	6.73	33.87	4.14
	"2013"	"2013"	"Yolo County, CA"	"06113"	156	0.04%	1979.92	481.30	29.99	6.73	34.34	3.69
	"2013"	"2013"	"Unidentified Counties, CA"	"06999"	679	0.15%	2000.75	487.64	28.26	6.20	34.63	3.71
"Total"	"2013"	"2013"			33753	7.59%	1984.32	524.51	29.59	6.68	34.35	4.10
	"2014"	"2014"	"Alameda County, CA"	"06001"	1357	0.31%	1977.94	520.86	31.33	6.19	34.40	3.99
	"2014"	"2014"	"Butte County, CA"	"06007"	164	0.04%	2041.12	462.60	28.01	6.44	35.15	3.78
	"2014"	"2014"	"Contra Costa County, CA"	"06013"	840	0.19%	1986.78	512.81	31.00	6.54	34.26	3.79
	"2014"	"2014"	"El Dorado County, CA"	"06017"	100	0.02%	2047.22	414.38	30.22	6.07	34.71	3.28
	"2014"	"2014"	"Fresno County, CA"	"06019"	1249	0.28%	1960.31	549.24	27.93	6.21	34.10	4.25
	"2014"	"2014"	"Humboldt County, CA"	"06023"	92	0.02%	1921.43	545.90	29.41	6.05	34.37	4.56
	"2014"	"2014"	"Imperial County, CA"	"06025"	190	0.04%	2013.87	490.13	27.94	6.61	35.99	4.34
	"2014"	"2014"	"Kern County, CA"	"06029"	984	0.22%	1961.57	548.05	27.53	6.16	34.24	4.31
	"2014"	"2014"	"Kings County, CA"	"06031"	145	0.03%	1961.00	523.72	26.71	5.82	33.90	3.94
	"2014"	"2014"	"Los Angeles County, CA"	"06037"	9007	2.02%	1983.61	523.41	30.02	6.72	34.37	4.08
	"2014"	"2014"	"Madera County, CA"	"06039"	139	0.03%	2036.38	468.53	27.42	6.59	34.69	3.78
	"2014"	"2014"	"Marin County, CA"	"06041"	143	0.03%	1964.76	528.26	33.34	7.14	34.15	3.98
	"2014"	"2014"	"Merced County, CA"	"06047"	242	0.05%	1987.06	542.51	27.59	6.27	34.75	4.30
	"2014"	"2014"	"Monterey County, CA"	"06053"	399	0.09%	1980.98	516.88	29.18	6.36	34.39	3.95
	"2014"	"2014"	"Napa County, CA"	"06055"	88	0.02%	2063.51	483.62	29.95	6.59	34.22	4.19
	"2014"	"2014"	"Orange County, CA"	"06059"	2429	0.55%	2024.78	478.19	31.06	6.38	34.69	3.68
	"2014"	"2014"	"Placer County, CA"	"06061"	207	0.05%	1963.54	549.02	31.73	6.46	34.23	4.32
	"2014"	"2014"	"Riverside County, CA"	"06065"	1971	0.44%	1970.82	531.10	29.16	6.58	34.22	4.13
	"2014"	"2014"	"Sacramento County, CA"	"06067"	1394	0.31%	1923.95	565.17	29.54	6.50	33.89	4.33
	"2014"	"2014"	"San Bernardino County, CA"	"06071"	2195	0.49%	1952.93	560.33	28.38	6.38	34.05	4.39
	"2014"	"2014"	"San Diego County, CA"	"06073"	2859	0.64%	1961.60	538.55	29.96	6.58	34.08	4.18
	"2014"	"2014"	"San Francisco County, CA"	"06075"	608	0.14%	2043.48	462.77	32.76	5.83	34.93	3.51
	"2014"	"2014"	"San Joaquin County, CA"	"06077"	702	0.16%	1975.36	546.23	28.83	6.26	34.09	4.23
	"2014"	"2014"	"San Luis Obispo County, CA"	"06079"	145	0.03%	1961.50	554.08	29.48	5.60	34.01	4.09
	"2014"	"2014"	"San Mateo County, CA"	"06081"	632	0.14%	2016.99	485.94	32.20	5.97	34.45	3.66
	"2014"	"2014"	"Santa Barbara County, CA"	"06083"	341	0.08%	2006.51	514.27	29.06	6.75	34.59	3.99
	"2014"	"2014"	"Santa Clara County, CA"	"06085"	1609	0.36%	2033.05	485.91	31.75	5.77	34.73	3.66
	"2014"	"2014"	"Santa Cruz County, CA"	"06087"	152	0.03%	1893.90	591.34	30.91	6.49	33.74	4.69
	"2014"	"2014"	"Shasta County, CA"	"06089"	114	0.03%	1949.90	510.40	27.25	5.75	34.44	3.82
	"2014"	"2014"	"Solano County, CA"	"06095"	347	0.08%	1959.80	538.33	29.78	6.70	34.44	4.14
	"2014"	"2014"	"Sonoma County, CA"	"06097"	284	0.06%	2000.64	469.73	30.37	5.89	34.14	3.63
	"2014"	"2014"	"Stanislaus County, CA"	"06099"	454	0.10%	1968.81	545.62	28.16	5.99	34.47	4.45
	"2014"	"2014"	"Tulare County, CA"	"06107"	506	0.11%	2025.01	504.54	27.65	6.42	34.37	4.00
	"2014"	"2014"	"Ventura County, CA"	"06111"	680	0.15%	1993.04	519.25	29.77	6.67	34.28	4.07
	"2014"	"2014"	"Yolo County, CA"	"06113"	128	0.03%	1890.37	501.23	30.23	6.74	33.62	3.90
	"2014"	"2014"	"Unidentified Counties, CA"	"06999"	690	0.16%	2021.77	482.80	28.31	6.42	34.61	3.88
"Total"	"2014"	"2014"			33586	7.55%	1982.88	523.91	29.82	6.57	34.34	4.07
	"2015"	"2015"	"Alameda County, CA"	"06001"	1385	0.31%	2010.74	496.34	31.38	5.93	34.60	3.77
	"2015"	"2015"	"Butte County, CA"	"06007"	152	0.03%	2032.24	464.64	28.09	4.99	34.83	3.64
	"2015"	"2015"	"Contra Costa County, CA"	"06013"	863	0.19%	2023.35	449.38	31.25	6.47	34.60	3.45
	"2015"	"2015"	"El Dorado County, CA"	"06017"	115	0.03%	2049.33	470.53	30.21	6.07	34.92	3.51
	"2015"	"2015"	"Fresno County, CA"	"06019"	1189	0.27%	1928.83	572.71	28.60	6.32	33.65	4.33
	"2015"	"2015"	"Humboldt County, CA"	"06023"	70	0.02%	1894.76	616.21	29.16	6.25	33.23	5.02
	"2015"	"2015"	"Imperial County, CA"	"06025"	164	0.04%	2002.56	494.76	28.08	6.65	35.29	4.08
	"2015"	"2015"	"Kern County, CA"	"06029"	1005	0.23%	1953.62	537.40	27.78	6.41	34.23	4.27
	"2015"	"2015"	"Kings County, CA"	"06031"	146	0.03%	1925.46	550.15	28.22	6.71	33.86	4.38
	"2015"	"2015"	"Los Angeles County, CA"	"06037"	9109	2.05%	1995.76	508.02	30.35	6.69	34.47	3.97
	"2015"	"2015"	"Madera County, CA"	"06039"	132	0.03%	1960.73	563.10	27.75	6.82	34.29	4.47
	"2015"	"2015"	"Marin County, CA"	"06041"	133	0.03%	2024.50	423.12	34.02	6.18	34.82	3.10
	"2015"	"2015"	"Merced County, CA"	"06047"	247	0.06%	2051.21	489.80	28.68	6.74	35.15	3.82
	"2015"	"2015"	"Monterey County, CA"	"06053"	418	0.09%	1938.32	552.44	29.20	6.13	33.76	4.35
	"2015"	"2015"	"Napa County, CA"	"06055"	69	0.02%	2011.25	491.14	30.10	5.90	34.43	3.69
	"2015"	"2015"	"Orange County, CA"	"06059"	2357	0.53%	2021.61	497.61	31.09	6.19	34.62	3.78
	"2015"	"2015"	"Placer County, CA"	"06061"	222	0.05%	1907.55	586.29	30.23	5.74	33.51	4.46
	"2015"	"2015"	"Riverside County, CA"	"06065"	1979	0.44%	2012.03	514.92	28.67	6.37	34.44	4.05
	"2015"	"2015"	"Sacramento County, CA"	"06067"	1325	0.30%	1971.04	527.20	29.66	6.32	34.26	3.99
	"2015"	"2015"	"San Bernardino County, CA"	"06071"	2238	0.50%	1964.21	532.19	28.48	6.39	34.02	4.18
	"2015"	"2015"	"San Diego County, CA"	"06073"	2832	0.64%	1989.02	516.36	30.32	6.62	34.22	3.99
	"2015"	"2015"	"San Francisco County, CA"	"06075"	616	0.14%	2054.44	430.47	33.75	5.76	34.85	3.23
	"2015"	"2015"	"San Joaquin County, CA"	"06077"	720	0.16%	1954.57	535.96	28.76	6.42	34.24	4.09
	"2015"	"2015"	"San Luis Obispo County, CA"	"06079"	164	0.04%	2007.92	526.44	29.96	5.43	34.39	4.07
	"2015"	"2015"	"San Mateo County, CA"	"06081"	676	0.15%	2028.18	480.80	32.15	5.82	34.56	3.47
	"2015"	"2015"	"Santa Barbara County, CA"	"06083"	349	0.08%	1967.78	523.59	29.72	6.56	34.13	3.87
	"2015"	"2015"	"Santa Clara County, CA"	"06085"	1639	0.37%	2021.38	490.13	31.87	5.75	34.53	3.69
	"2015"	"2015"	"Santa Cruz County, CA"	"06087"	193	0.04%	1911.90	557.13	30.94	6.92	33.82	4.33
	"2015"	"2015"	"Shasta County, CA"	"06089"	119	0.03%	1940.47	541.66	27.52	6.41	34.19	3.92
	"2015"	"2015"	"Solano County, CA"	"06095"	319	0.07%	1934.24	557.17	29.63	5.98	34.28	4.09
	"2015"	"2015"	"Sonoma County, CA"	"06097"	283	0.06%	2002.65	479.77	29.61	6.23	34.34	3.79
	"2015"	"2015"	"Stanislaus County, CA"	"06099"	487	0.11%	1936.91	545.07	29.03	6.21	34.19	4.28
	"2015"	"2015"	"Tulare County, CA"	"06107"	509	0.11%	1943.05	551.30	27.76	6.13	33.89	4.37
	"2015"	"2015"	"Ventura County, CA"	"06111"	610	0.14%	1998.55	506.83	30.19	6.55	34.16	3.63
	"2015"	"2015"	"Yolo County, CA"	"06113"	131	0.03%	1918.66	554.87	29.76	6.77	33.95	4.23
	"2015"	"2015"	"Unidentified Counties, CA"	"06999"	701	0.16%	2015.55	501.32	27.99	6.29	34.72	3.96
"Total"	"2015"	"2015"			33666	7.57%	1990.75	514.21	30.02	6.52	34.36	3.97
	"2016"	"2016"	"Alameda County, CA"	"06001"	1386	0.31%	2023.24	479.87	31.55	6.00	34.70	3.74
	"2016"	"2016"	"Butte County, CA"	"06007"	137	0.03%	2003.74	521.67	29.49	6.48	34.39	4.01
	"2016"	"2016"	"Contra Costa County, CA"	"06013"	850	0.19%	2015.55	461.69	30.97	5.83	34.69	3.63
	"2016"	"2016"	"El Dorado County, CA"	"06017"	107	0.02%	2018.73	487.87	30.73	6.24	34.64	3.76
	"2016"	"2016"	"Fresno County, CA"	"06019"	1073	0.24%	1979.21	518.85	28.42	6.12	34.13	3.95
	"2016"	"2016"	"Humboldt County, CA"	"06023"	98	0.02%	2038.51	454.10	29.55	6.38	34.64	3.73
	"2016"	"2016"	"Imperial County, CA"	"06025"	174	0.04%	2008.82	528.67	28.80	5.89	35.47	4.81
	"2016"	"2016"	"Kern County, CA"	"06029"	1030	0.23%	1996.53	514.08	27.94	6.05	34.59	4.09
	"2016"	"2016"	"Kings County, CA"	"06031"	150	0.03%	1961.70	523.77	27.67	5.99	33.70	4.06
	"2016"	"2016"	"Los Angeles County, CA"	"06037"	8790	1.98%	1998.00	512.99	30.47	6.48	34.46	3.98
	"2016"	"2016"	"Madera County, CA"	"06039"	165	0.04%	1950.13	522.42	26.81	5.86	34.24	4.29
	"2016"	"2016"	"Marin County, CA"	"06041"	131	0.03%	1980.64	493.43	34.64	5.85	34.40	3.48
	"2016"	"2016"	"Merced County, CA"	"06047"	242	0.05%	2058.74	460.13	28.05	6.25	35.07	3.94
	"2016"	"2016"	"Monterey County, CA"	"06053"	359	0.08%	1998.88	507.68	28.91	6.37	34.31	3.82
	"2016"	"2016"	"Napa County, CA"	"06055"	79	0.02%	2041.56	492.08	31.65	6.08	34.34	3.77
	"2016"	"2016"	"Orange County, CA"	"06059"	2392	0.54%	1999.02	503.85	31.41	6.21	34.40	3.81
	"2016"	"2016"	"Placer County, CA"	"06061"	200	0.04%	1994.55	484.68	30.72	5.67	34.17	3.64
	"2016"	"2016"	"Riverside County, CA"	"06065"	2129	0.48%	1966.36	530.71	29.40	6.42	34.26	4.05
	"2016"	"2016"	"Sacramento County, CA"	"06067"	1336	0.30%	1950.35	544.77	29.71	6.32	34.09	4.20
	"2016"	"2016"	"San Bernardino County, CA"	"06071"	2265	0.51%	1977.53	531.71	28.77	6.17	34.18	4.16
	"2016"	"2016"	"San Diego County, CA"	"06073"	2842	0.64%	1969.06	510.87	30.63	6.41	34.19	3.84
	"2016"	"2016"	"San Francisco County, CA"	"06075"	642	0.14%	2053.36	422.20	33.25	5.52	34.80	3.09
	"2016"	"2016"	"San Joaquin County, CA"	"06077"	775	0.17%	2002.65	491.72	28.92	6.36	34.65	3.96
	"2016"	"2016"	"San Luis Obispo County, CA"	"06079"	165	0.04%	1988.16	480.54	30.67	6.06	34.15	3.52
	"2016"	"2016"	"San Mateo County, CA"	"06081"	587	0.13%	1999.98	476.89	32.61	5.88	34.52	3.50
	"2016"	"2016"	"Santa Barbara County, CA"	"06083"	387	0.09%	1987.63	498.75	29.07	6.56	34.24	3.75
	"2016"	"2016"	"Santa Clara County, CA"	"06085"	1634	0.37%	2021.85	487.20	31.96	5.61	34.58	3.68
	"2016"	"2016"	"Santa Cruz County, CA"	"06087"	147	0.03%	2032.16	472.68	31.69	6.42	34.28	3.74
	"2016"	"2016"	"Shasta County, CA"	"06089"	148	0.03%	1992.91	525.76	27.97	6.17	34.31	4.00
	"2016"	"2016"	"Solano County, CA"	"06095"	348	0.08%	1946.62	522.04	29.68	5.92	34.17	4.12
	"2016"	"2016"	"Sonoma County, CA"	"06097"	311	0.07%	2013.82	467.05	30.16	6.29	34.49	3.47
	"2016"	"2016"	"Stanislaus County, CA"	"06099"	549	0.12%	1969.03	510.05	28.67	6.49	34.15	4.07
	"2016"	"2016"	"Tulare County, CA"	"06107"	484	0.11%	1995.03	537.48	27.97	6.67	34.18	4.26
	"2016"	"2016"	"Ventura County, CA"	"06111"	531	0.12%	2001.71	503.25	30.41	6.57	34.17	3.86
	"2016"	"2016"	"Yolo County, CA"	"06113"	153	0.03%	1996.51	462.08	31.41	5.69	34.50	3.51
	"2016"	"2016"	"Unidentified Counties, CA"	"06999"	680	0.15%	2018.37	495.80	28.45	6.09	34.63	3.85
"Total"	"2016"	"2016"			33476	7.52%	1993.38	508.23	30.18	6.38	34.40	3.92
	"2017"	"2017"	"Alameda County, CA"	"06001"	1397	0.31%	1993.63	509.37	31.71	6.04	34.57	3.87
	"2017"	"2017"	"Butte County, CA"	"06007"	149	0.03%	1975.58	490.77	29.93	5.79	34.29	3.82
	"2017"	"2017"	"Contra Costa County, CA"	"06013"	879	0.20%	1977.06	514.15	31.20	5.98	34.29	3.91
	"2017"	"2017"	"El Dorado County, CA"	"06017"	117	0.03%	2098.97	412.68	30.97	5.68	35.28	3.22
	"2017"	"2017"	"Fresno County, CA"	"06019"	1009	0.23%	1959.18	555.94	28.80	6.58	33.99	4.34
	"2017"	"2017"	"Humboldt County, CA"	"06023"	78	0.02%	2006.27	499.11	29.49	5.85	34.50	4.02
	"2017"	"2017"	"Imperial County, CA"	"06025"	153	0.03%	1945.27	536.29	28.74	6.58	34.65	4.74
	"2017"	"2017"	"Kern County, CA"	"06029"	1021	0.23%	1972.26	534.19	28.26	6.50	34.46	4.27
	"2017"	"2017"	"Kings County, CA"	"06031"	153	0.03%	2013.95	489.66	28.63	6.03	34.41	3.80
	"2017"	"2017"	"Los Angeles County, CA"	"06037"	8499	1.91%	1995.55	508.74	30.59	6.33	34.48	3.95
	"2017"	"2017"	"Madera County, CA"	"06039"	131	0.03%	2012.73	476.37	28.61	6.81	34.61	3.69
	"2017"	"2017"	"Marin County, CA"	"06041"	124	0.03%	2124.67	398.59	31.82	6.04	35.40	3.17
	"2017"	"2017"	"Merced County, CA"	"06047"	307	0.07%	1957.37	524.99	28.94	6.35	34.45	4.32
	"2017"	"2017"	"Monterey County, CA"	"06053"	352	0.08%	1975.45	503.06	29.27	6.67	34.21	3.93
	"2017"	"2017"	"Napa County, CA"	"06055"	86	0.02%	1899.29	528.78	30.84	6.88	34.06	3.84
	"2017"	"2017"	"Orange County, CA"	"06059"	2167	0.49%	2024.05	490.94	31.25	6.20	34.59	3.84
	"2017"	"2017"	"Placer County, CA"	"06061"	216	0.05%	2015.66	467.39	31.19	5.79	34.35	3.35
	"2017"	"2017"	"Riverside County, CA"	"06065"	2057	0.46%	1972.25	525.57	29.60	6.43	34.22	4.06
	"2017"	"2017"	"Sacramento County, CA"	"06067"	1399	0.31%	1992.87	496.51	29.60	6.26	34.36	3.83
	"2017"	"2017"	"San Bernardino County, CA"	"06071"	2173	0.49%	1969.13	535.26	29.07	6.57	34.14	4.00
	"2017"	"2017"	"San Diego County, CA"	"06073"	2688	0.60%	2006.74	506.62	30.72	6.35	34.40	3.87
	"2017"	"2017"	"San Francisco County, CA"	"06075"	623	0.14%	2062.48	434.70	33.13	5.85	34.82	3.26
	"2017"	"2017"	"San Joaquin County, CA"	"06077"	760	0.17%	1976.11	516.66	29.19	5.89	34.22	4.04
	"2017"	"2017"	"San Luis Obispo County, CA"	"06079"	133	0.03%	2040.71	530.81	30.33	6.32	34.28	3.92
	"2017"	"2017"	"San Mateo County, CA"	"06081"	586	0.13%	2010.26	489.16	33.02	5.97	34.44	3.76
	"2017"	"2017"	"Santa Barbara County, CA"	"06083"	402	0.09%	2019.99	508.23	30.06	6.89	34.51	3.94
	"2017"	"2017"	"Santa Clara County, CA"	"06085"	1490	0.33%	2028.92	463.95	31.93	5.54	34.64	3.49
	"2017"	"2017"	"Santa Cruz County, CA"	"06087"	165	0.04%	1952.55	520.64	30.59	5.78	33.95	3.86
	"2017"	"2017"	"Shasta County, CA"	"06089"	142	0.03%	2002.13	524.15	27.97	5.51	34.51	4.17
	"2017"	"2017"	"Solano County, CA"	"06095"	343	0.08%	1972.77	521.26	30.24	6.09	34.43	4.00
	"2017"	"2017"	"Sonoma County, CA"	"06097"	248	0.06%	2041.09	527.25	30.69	5.85	34.62	3.91
	"2017"	"2017"	"Stanislaus County, CA"	"06099"	489	0.11%	1962.19	504.38	29.16	6.00	34.27	4.00
	"2017"	"2017"	"Tulare County, CA"	"06107"	518	0.12%	2018.33	503.25	28.38	6.78	34.43	4.03
	"2017"	"2017"	"Ventura County, CA"	"06111"	538	0.12%	1996.64	516.29	30.78	6.47	34.11	3.79
	"2017"	"2017"	"Yolo County, CA"	"06113"	136	0.03%	1995.74	525.21	30.19	6.47	34.54	3.87
	"2017"	"2017"	"Unidentified Counties, CA"	"06999"	723	0.16%	2015.02	483.99	28.57	5.87	34.72	3.80
"Total"	"2017"	"2017"			32451	7.29%	1995.94	508.48	30.32	6.36	34.42	3.92
	"2018"	"2018"	"Alameda County, CA"	"06001"	1331	0.30%	2023.46	486.63	31.94	5.92	34.66	3.69
	"2018"	"2018"	"Butte County, CA"	"06007"	140	0.03%	1997.54	541.79	29.64	5.72	34.44	4.02
	"2018"	"2018"	"Contra Costa County, CA"	"06013"	807	0.18%	1986.22	500.05	31.70	5.98	34.31	3.79
	"2018"	"2018"	"El Dorado County, CA"	"06017"	111	0.02%	2013.56	473.87	31.31	5.30	34.36	3.59
	"2018"	"2018"	"Fresno County, CA"	"06019"	1085	0.24%	1952.75	563.47	29.17	6.41	33.98	4.32
	"2018"	"2018"	"Humboldt County, CA"	"06023"	89	0.02%	1977.90	508.46	29.39	5.72	34.33	3.72
	"2018"	"2018"	"Imperial County, CA"	"06025"	147	0.03%	1993.03	502.08	29.10	6.61	35.86	4.66
	"2018"	"2018"	"Kern County, CA"	"06029"	949	0.21%	1958.37	533.88	28.48	6.60	34.31	4.17
	"2018"	"2018"	"Kings County, CA"	"06031"	151	0.03%	1916.64	594.82	27.83	6.34	33.68	4.34
	"2018"	"2018"	"Los Angeles County, CA"	"06037"	8134	1.83%	1998.47	507.19	30.95	6.37	34.43	3.95
	"2018"	"2018"	"Madera County, CA"	"06039"	143	0.03%	2001.38	513.02	28.20	5.94	34.32	3.92
	"2018"	"2018"	"Marin County, CA"	"06041"	108	0.02%	2001.75	477.29	34.16	5.00	34.69	3.83
	"2018"	"2018"	"Merced County, CA"	"06047"	218	0.05%	1943.77	525.99	29.17	6.65	33.99	4.18
	"2018"	"2018"	"Monterey County, CA"	"06053"	393	0.09%	2019.66	478.18	29.81	6.50	34.54	3.89
	"2018"	"2018"	"Napa County, CA"	"06055"	84	0.02%	2062.13	479.71	31.31	5.81	34.86	4.00
	"2018"	"2018"	"Orange County, CA"	"06059"	2237	0.50%	2028.48	484.62	31.55	6.11	34.60	3.75
	"2018"	"2018"	"Placer County, CA"	"06061"	218	0.05%	2038.01	433.06	31.27	5.90	34.75	3.06
	"2018"	"2018"	"Riverside County, CA"	"06065"	2050	0.46%	1996.90	500.94	29.67	6.34	34.35	3.75
	"2018"	"2018"	"Sacramento County, CA"	"06067"	1298	0.29%	1959.59	529.19	30.07	6.26	34.07	4.17
	"2018"	"2018"	"San Bernardino County, CA"	"06071"	2265	0.51%	1962.76	538.30	29.18	6.34	34.08	4.04
	"2018"	"2018"	"San Diego County, CA"	"06073"	2824	0.63%	2003.71	507.85	31.03	6.25	34.26	3.86
	"2018"	"2018"	"San Francisco County, CA"	"06075"	604	0.14%	2047.08	429.59	33.33	5.56	34.69	3.18
	"2018"	"2018"	"San Joaquin County, CA"	"06077"	707	0.16%	1929.49	561.45	29.27	6.26	34.06	4.42
	"2018"	"2018"	"San Luis Obispo County, CA"	"06079"	143	0.03%	2012.63	461.34	31.24	5.45	34.10	3.62
	"2018"	"2018"	"San Mateo County, CA"	"06081"	516	0.12%	2032.07	468.95	33.42	5.44	34.69	3.58
	"2018"	"2018"	"Santa Barbara County, CA"	"06083"	355	0.08%	2052.52	458.55	29.13	6.61	34.70	3.48
	"2018"	"2018"	"Santa Clara County, CA"	"06085"	1465	0.33%	2030.01	466.85	32.35	5.65	34.56	3.45
	"2018"	"2018"	"Santa Cruz County, CA"	"06087"	149	0.03%	2016.33	454.52	30.76	6.67	34.69	3.57
	"2018"	"2018"	"Shasta County, CA"	"06089"	118	0.03%	2022.08	464.36	29.54	6.54	34.83	3.66
	"2018"	"2018"	"Solano County, CA"	"06095"	360	0.08%	1989.11	511.31	29.99	6.09	34.27	4.12
	"2018"	"2018"	"Sonoma County, CA"	"06097"	279	0.06%	2028.26	477.73	30.46	6.46	34.67	3.52
	"2018"	"2018"	"Stanislaus County, CA"	"06099"	456	0.10%	1991.52	496.25	29.05	5.89	34.22	3.72
	"2018"	"2018"	"Tulare County, CA"	"06107"	487	0.11%	1979.74	553.10	28.84	6.43	34.23	4.32
	"2018"	"2018"	"Ventura County, CA"	"06111"	547	0.12%	1993.83	522.02	31.10	6.35	34.29	3.94
	"2018"	"2018"	"Yolo County, CA"	"06113"	108	0.02%	1983.44	483.57	30.19	6.36	34.53	3.76
	"2018"	"2018"	"Unidentified Counties, CA"	"06999"	669	0.15%	1998.39	506.67	29.23	6.19	34.29	3.94
"Total"	"2018"	"2018"			31745	7.14%	1996.58	507.64	30.60	6.34	34.37	3.90
	"2019"	"2019"	"Alameda County, CA"	"06001"	1320	0.30%	2007.54	475.28	32.10	5.84	34.74	3.64
	"2019"	"2019"	"Butte County, CA"	"06007"	136	0.03%	2027.21	492.90	30.18	6.17	34.56	3.65
	"2019"	"2019"	"Contra Costa County, CA"	"06013"	878	0.20%	1988.35	500.73	31.08	6.05	34.36	4.01
	"2019"	"2019"	"El Dorado County, CA"	"06017"	90	0.02%	2071.18	452.37	31.51	6.07	34.70	3.66
	"2019"	"2019"	"Fresno County, CA"	"06019"	1124	0.25%	1997.91	519.50	29.38	6.22	34.30	4.13
	"2019"	"2019"	"Humboldt County, CA"	"06023"	83	0.02%	2088.96	479.21	30.22	6.53	34.87	3.71
	"2019"	"2019"	"Imperial County, CA"	"06025"	165	0.04%	1998.80	475.71	29.68	6.15	35.60	4.46
	"2019"	"2019"	"Kern County, CA"	"06029"	1010	0.23%	1960.00	514.14	28.89	6.14	34.43	4.14
	"2019"	"2019"	"Kings County, CA"	"06031"	134	0.03%	2055.85	441.46	28.65	6.24	35.20	3.80
	"2019"	"2019"	"Los Angeles County, CA"	"06037"	7896	1.77%	1992.18	505.10	31.17	6.36	34.44	3.93
	"2019"	"2019"	"Madera County, CA"	"06039"	114	0.03%	1951.53	573.98	28.11	6.40	33.72	4.33
	"2019"	"2019"	"Marin County, CA"	"06041"	124	0.03%	2075.64	328.28	33.73	5.62	34.78	2.97
	"2019"	"2019"	"Merced County, CA"	"06047"	239	0.05%	1998.97	520.26	28.62	6.07	34.84	4.34
	"2019"	"2019"	"Monterey County, CA"	"06053"	369	0.08%	1976.33	556.54	29.68	6.89	34.11	4.44
	"2019"	"2019"	"Napa County, CA"	"06055"	61	0.01%	1992.08	483.84	32.39	5.37	34.59	3.46
	"2019"	"2019"	"Orange County, CA"	"06059"	2384	0.54%	2021.72	478.51	32.07	6.01	34.65	3.81
	"2019"	"2019"	"Placer County, CA"	"06061"	223	0.05%	1936.69	521.26	31.09	5.74	33.86	4.04
	"2019"	"2019"	"Riverside County, CA"	"06065"	1947	0.44%	1977.96	510.61	29.74	6.41	34.31	4.00
	"2019"	"2019"	"Sacramento County, CA"	"06067"	1350	0.30%	1950.07	544.23	30.29	6.30	34.07	4.20
	"2019"	"2019"	"San Bernardino County, CA"	"06071"	2288	0.51%	1959.63	534.53	29.77	6.44	34.20	4.21
