"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Births	% of Total Births	Total Population	Birth Rate	Female Population	Fertility Rate	Average Birth Weight	Average Age of Mother	Average LMP Gestational Age	Average OE Gestational Age
	"California"	"06"	"Monterey County, CA"	"06053"	"2011"	"2011"	6812	0.10%	421898	16.15	85172	79.98	3350.26	27.42	38.88	38.72
	"California"	"06"	"Monterey County, CA"	"06053"	"2012"	"2012"	6652	0.10%	426762	15.59	85754	77.57	3352.42	27.77	38.93	38.71
	"California"	"06"	"Monterey County, CA"	"06053"	"2013"	"2013"	6547	0.10%	428826	15.27	85740	76.36	3346.29	27.95	38.92	38.75
	"California"	"06"	"Monterey County, CA"	"06053"	"2014"	"2014"	6455	0.10%	431344	14.96	86380	74.73	3342.88	28.24	38.84	38.73
	"California"	"06"	"Monterey County, CA"	"06053"	"2015"	"2015"	6420	0.10%	433898	14.80	86585	74.15	3334.96	28.34	38.81	38.72
	"California"	"06"	"Monterey County, CA"	"06053"	"2016"	"2016"	6219	0.10%	435232	14.29	86327	72.04	3337.35	28.66	38.81	38.71
	"California"	"06"	"Monterey County, CA"	"06053"	"2017"	"2017"	5810	0.09%	437907	13.27	86495	67.17	3342.63	28.66	38.81	38.72
	"California"	"06"	"Monterey County, CA"	"06053"	"2018"	"2018"	5895	0.09%	435594	13.53	85752	68.74	3318.25	28.87	38.75	38.68
	"California"	"06"	"Monterey County, CA"	"06053"	"2019"	"2019"	5846	0.09%	434061	13.47	85371	68.48	3322.85	29.05	38.66	38.66
"Total"	"California"	"06"	"Monterey County, CA"	"06053"			85477	1.31%	5519240	15.49	1107288	77.19	3343.90	27.90	38.84	38.70
	"California"	"06"	"Napa County, CA"	"06055"	"2007"	"2007"	1665	0.03%	132583	12.56	24927	66.80	3412.03	28.43	39.15	39.00
	"California"	"06"	"Napa County, CA"	"06055"	"2008"	"2008"	1671	0.03%	134093	12.46	25174	66.38	3367.56	28.77	38.88	38.80
	"California"	"06"	"Napa County, CA"	"06055"	"2009"	"2009"	1653	0.03%	135280	12.22	25167	65.68	3355.94	28.68	38.85	38.74
	"California"	"06"	"Napa County, CA"	"06055"	"2010"	"2010"	1525	0.02%	136484	11.17	25328	60.21	3362.61	29.02	38.95	38.80
	"California"	"06"	"Napa County, CA"	"06055"	"2011"	"2011"	1572	0.02%	138088	11.38	25497	61.65	3351.67	29.17	38.95	38.76
	"California"	"06"	"Napa County, CA"	"06055"	"2012"	"2012"	1431	0.02%	139045	10.29	25614	55.87	3371.29	29.23	38.95	38.75
	"California"	"06"	"Napa County, CA"	"06055"	"2013"	"2013"	1450	0.02%	140326	10.33	25928	55.92	3343.56	29.70	38.89	38.73
	"California"	"06"	"Napa County, CA"	"06055"	"2014"	"2014"	1475	0.02%	141667	10.41	26367	55.94	3353.90	29.71	38.93	38.81
	"California"	"06"	"Napa County, CA"	"06055"	"2015"	"2015"	1457	0.02%	142456	10.23	26288	55.42	3374.77	29.82	38.95	38.80
	"California"	"06"	"Napa County, CA"	"06055"	"2016"	"2016"	1406	0.02%	142166	9.89	26204	53.66	3372.17	30.46	38.90	38.77
	"California"	"06"	"Napa County, CA"	"06055"	"2017"	"2017"	1291	0.02%	140973	9.16	25932	49.78	3348.74	30.51	38.87	38.70
	"California"	"06"	"Napa County, CA"	"06055"	"2018"	"2018"	1204	0.02%	139417	8.64	25490	47.23	3346.47	30.83	38.88	38.67
	"California"	"06"	"Napa County, CA"	"06055"	"2019"	"2019"	1279	0.02%	137744	9.29	25186	50.78	3357.57	30.74	38.91	38.77
"Total"	"California"	"06"	"Napa County, CA"	"06055"			19079	0.29%	1800322	10.60	333102	57.28	3363.75	29.55	38.93	38.78
	"California"	"06"	"Orange County, CA"	"06059"	"2007"	"2007"	44038	0.68%	2931629	15.02	634401	69.42	3291.85	29.02	38.59	38.50
	"California"	"06"	"Orange County, CA"	"06059"	"2008"	"2008"	42467	0.65%	2957593	14.36	635908	66.78	3295.90	29.08	38.65	38.53
	"California"	"06"	"Orange County, CA"	"06059"	"2009"	"2009"	40437	0.62%	2987177	13.54	637789	63.40	3288.96	29.22	38.64	38.55
	"California"	"06"	"Orange County, CA"	"06059"	"2010"	"2010"	38250	0.59%	3010232	12.71	638919	59.87	3297.92	29.34	38.65	38.57
	"California"	"06"	"Orange County, CA"	"06059"	"2011"	"2011"	38101	0.59%	3055745	12.47	642623	59.29	3296.87	29.66	38.69	38.59
	"California"	"06"	"Orange County, CA"	"06059"	"2012"	"2012"	38183	0.59%	3090132	12.36	646409	59.07	3304.18	29.80	38.73	38.60
	"California"	"06"	"Orange County, CA"	"06059"	"2013"	"2013"	37281	0.57%	3114363	11.97	645702	57.74	3298.99	30.00	38.71	38.63
	"California"	"06"	"Orange County, CA"	"06059"	"2014"	"2014"	38595	0.59%	3145515	12.27	648338	59.53	3296.28	30.26	38.74	38.66
	"California"	"06"	"Orange County, CA"	"06059"	"2015"	"2015"	37609	0.58%	3169776	11.86	646274	58.19	3291.05	30.40	38.73	38.64
	"California"	"06"	"Orange County, CA"	"06059"	"2016"	"2016"	38106	0.59%	3172532	12.01	641065	59.44	3288.58	30.67	38.71	38.61
	"California"	"06"	"Orange County, CA"	"06059"	"2017"	"2017"	37369	0.57%	3190400	11.71	641608	58.24	3295.73	30.80	38.73	38.65
	"California"	"06"	"Orange County, CA"	"06059"	"2018"	"2018"	35679	0.55%	3185968	11.20	636584	56.05	3291.59	30.98	38.70	38.63
	"California"	"06"	"Orange County, CA"	"06059"	"2019"	"2019"	35052	0.54%	3175692	11.04	630533	55.59	3280.46	31.17	38.61	38.57
"Total"	"California"	"06"	"Orange County, CA"	"06059"			501167	7.70%	40186754	12.47	8326153	60.19	3293.78	29.99	38.68	38.59
	"California"	"06"	"Placer County, CA"	"06061"	"2007"	"2007"	4054	0.06%	329023	12.32	62058	65.33	3357.90	29.21	38.84	38.71
	"California"	"06"	"Placer County, CA"	"06061"	"2008"	"2008"	4035	0.06%	337568	11.95	63279	63.77	3372.05	29.35	38.94	38.75
	"California"	"06"	"Placer County, CA"	"06061"	"2009"	"2009"	3810	0.06%	343810	11.08	63582	59.92	3372.03	29.42	38.92	38.82
	"California"	"06"	"Placer County, CA"	"06061"	"2010"	"2010"	3825	0.06%	348432	10.98	63948	59.81	3381.86	29.46	38.97	38.84
	"California"	"06"	"Placer County, CA"	"06061"	"2011"	"2011"	3834	0.06%	357138	10.74	65260	58.75	3363.86	29.75	38.88	38.81
	"California"	"06"	"Placer County, CA"	"06061"	"2012"	"2012"	3648	0.06%	361682	10.09	65634	55.58	3378.37	29.70	38.99	38.88
	"California"	"06"	"Placer County, CA"	"06061"	"2013"	"2013"	3688	0.06%	367309	10.04	66299	55.63	3390.76	30.06	38.95	38.90
	"California"	"06"	"Placer County, CA"	"06061"	"2014"	"2014"	3631	0.06%	371694	9.77	66528	54.58	3390.85	30.48	38.92	38.84
	"California"	"06"	"Placer County, CA"	"06061"	"2015"	"2015"	3747	0.06%	375391	9.98	66389	56.44	3369.83	30.48	38.81	38.75
	"California"	"06"	"Placer County, CA"	"06061"	"2016"	"2016"	3732	0.06%	380531	9.81	66724	55.93	3389.64	30.43	38.90	38.84
	"California"	"06"	"Placer County, CA"	"06061"	"2017"	"2017"	3689	0.06%	386166	9.55	67774	54.43	3378.93	30.77	38.85	38.80
	"California"	"06"	"Placer County, CA"	"06061"	"2018"	"2018"	3663	0.06%	393149	9.32	68887	53.17	3373.06	30.99	38.82	38.78
	"California"	"06"	"Placer County, CA"	"06061"	"2019"	"2019"	3658	0.06%	398329	9.18	69849	52.37	3375.45	30.94	38.75	38.71
"Total"	"California"	"06"	"Placer County, CA"	"06061"			49014	0.75%	4750222	10.32	856211	57.25	3376.29	30.06	38.89	38.80
	"California"	"06"	"Riverside County, CA"	"06065"	"2007"	"2007"	34563	0.53%	2075183	16.66	434741	79.50	3308.72	26.99	38.65	38.48
	"California"	"06"	"Riverside County, CA"	"06065"	"2008"	"2008"	32881	0.50%	2109712	15.59	439487	74.82	3301.57	27.12	38.66	38.47
	"California"	"06"	"Riverside County, CA"	"06065"	"2009"	"2009"	31605	0.49%	2146725	14.72	445168	71.00	3308.17	27.26	38.70	38.49
	"California"	"06"	"Riverside County, CA"	"06065"	"2010"	"2010"	30670	0.47%	2189641	14.01	453588	67.62	3311.50	27.48	38.73	38.56
	"California"	"06"	"Riverside County, CA"	"06065"	"2011"	"2011"	30611	0.47%	2239620	13.67	461995	66.26	3316.83	27.70	38.76	38.59
	"California"	"06"	"Riverside County, CA"	"06065"	"2012"	"2012"	30300	0.47%	2268783	13.36	466935	64.89	3304.18	27.78	38.74	38.55
	"California"	"06"	"Riverside County, CA"	"06065"	"2013"	"2013"	29941	0.46%	2292507	13.06	470213	63.68	3301.45	27.98	38.72	38.58
	"California"	"06"	"Riverside County, CA"	"06065"	"2014"	"2014"	30235	0.46%	2329271	12.98	477761	63.28	3299.39	28.28	38.68	38.58
	"California"	"06"	"Riverside County, CA"	"06065"	"2015"	"2015"	30491	0.47%	2361026	12.91	481978	63.26	3301.14	28.35	38.69	38.62
	"California"	"06"	"Riverside County, CA"	"06065"	"2016"	"2016"	30661	0.47%	2387741	12.84	484412	63.30	3292.17	28.59	38.66	38.57
	"California"	"06"	"Riverside County, CA"	"06065"	"2017"	"2017"	29857	0.46%	2423266	12.32	490435	60.88	3292.58	28.85	38.65	38.55
	"California"	"06"	"Riverside County, CA"	"06065"	"2018"	"2018"	28725	0.44%	2450758	11.72	493788	58.17	3288.23	28.93	38.61	38.54
	"California"	"06"	"Riverside County, CA"	"06065"	"2019"	"2019"	28026	0.43%	2470546	11.34	496568	56.44	3284.63	29.19	38.58	38.50
"Total"	"California"	"06"	"Riverside County, CA"	"06065"			398566	6.12%	29744779	13.40	6097069	65.37	3301.09	28.01	38.68	38.54
	"California"	"06"	"Sacramento County, CA"	"06067"	"2007"	"2007"	22119	0.34%	1381161	16.01	299301	73.90	3331.15	27.60	38.77	38.68
	"California"	"06"	"Sacramento County, CA"	"06067"	"2008"	"2008"	21397	0.33%	1394438	15.34	299910	71.34	3337.66	27.74	38.81	38.70
	"California"	"06"	"Sacramento County, CA"	"06067"	"2009"	"2009"	20433	0.31%	1408601	14.51	300957	67.89	3319.47	27.86	38.77	38.65
	"California"	"06"	"Sacramento County, CA"	"06067"	"2010"	"2010"	20056	0.31%	1418788	14.14	301457	66.53	3329.73	27.99	38.86	38.69
	"California"	"06"	"Sacramento County, CA"	"06067"	"2011"	"2011"	20002	0.31%	1436105	13.93	302931	66.03	3326.77	28.18	38.84	38.70
	"California"	"06"	"Sacramento County, CA"	"06067"	"2012"	"2012"	19623	0.30%	1450121	13.53	304619	64.42	3333.11	28.38	38.85	38.70
	"California"	"06"	"Sacramento County, CA"	"06067"	"2013"	"2013"	19371	0.30%	1462131	13.25	305676	63.37	3336.05	28.53	38.85	38.72
	"California"	"06"	"Sacramento County, CA"	"06067"	"2014"	"2014"	19871	0.31%	1482026	13.41	308697	64.37	3330.58	28.84	38.80	38.70
	"California"	"06"	"Sacramento County, CA"	"06067"	"2015"	"2015"	19423	0.30%	1501335	12.94	310959	62.46	3331.13	28.96	38.80	38.71
	"California"	"06"	"Sacramento County, CA"	"06067"	"2016"	"2016"	19588	0.30%	1514460	12.93	312029	62.78	3331.86	29.22	38.79	38.68
	"California"	"06"	"Sacramento County, CA"	"06067"	"2017"	"2017"	19202	0.29%	1530615	12.55	315902	60.78	3319.86	29.39	38.76	38.65
	"California"	"06"	"Sacramento County, CA"	"06067"	"2018"	"2018"	19102	0.29%	1540975	12.40	318387	60.00	3328.53	29.60	38.76	38.66
	"California"	"06"	"Sacramento County, CA"	"06067"	"2019"	"2019"	19089	0.29%	1552058	12.30	321210	59.43	3317.41	29.83	38.69	38.62
"Total"	"California"	"06"	"Sacramento County, CA"	"06067"			259276	3.98%	19072814	13.59	4002035	64.79	3328.80	28.60	38.80	38.68
	"California"	"06"	"San Bernardino County, CA"	"06071"	"2007"	"2007"	35190	0.54%	1992161	17.66	440194	79.94	3279.24	26.62	38.61	38.49
	"California"	"06"	"San Bernardino County, CA"	"06071"	"2008"	"2008"	33837	0.52%	2003735	16.89	440177	76.87	3270.74	26.67	38.63	38.48
	"California"	"06"	"San Bernardino County, CA"	"06071"	"2009"	"2009"	32006	0.49%	2013960	15.89	439809	72.77	3267.47	26.71	38.57	38.44
	"California"	"06"	"San Bernardino County, CA"	"06071"	"2010"	"2010"	31368	0.48%	2035210	15.41	443217	70.77	3273.24	26.89	38.63	38.50
	"California"	"06"	"San Bernardino County, CA"	"06071"	"2011"	"2011"	30566	0.47%	2065377	14.80	447756	68.26	3273.31	27.20	38.63	38.50
	"California"	"06"	"San Bernardino County, CA"	"06071"	"2012"	"2012"	30701	0.47%	2081313	14.75	449079	68.36	3264.17	27.28	38.63	38.46
	"California"	"06"	"San Bernardino County, CA"	"06071"	"2013"	"2013"	30246	0.46%	2088371	14.48	448903	67.38	3261.33	27.57	38.62	38.49
	"California"	"06"	"San Bernardino County, CA"	"06071"	"2014"	"2014"	31226	0.48%	2112619	14.78	452818	68.96	3268.74	27.78	38.60	38.51
	"California"	"06"	"San Bernardino County, CA"	"06071"	"2015"	"2015"	30530	0.47%	2128133	14.35	452930	67.41	3262.24	27.99	38.56	38.50
	"California"	"06"	"San Bernardino County, CA"	"06071"	"2016"	"2016"	31032	0.48%	2140096	14.50	452628	68.56	3261.33	28.25	38.55	38.47
	"California"	"06"	"San Bernardino County, CA"	"06071"	"2017"	"2017"	29643	0.46%	2157404	13.74	455176	65.12	3260.00	28.50	38.53	38.47
	"California"	"06"	"San Bernardino County, CA"	"06071"	"2018"	"2018"	28994	0.45%	2171603	13.35	456848	63.47	3246.52	28.67	38.46	38.42
	"California"	"06"	"San Bernardino County, CA"	"06071"	"2019"	"2019"	28656	0.44%	2180085	13.14	458131	62.55	3239.16	28.91	38.43	38.41
"Total"	"California"	"06"	"San Bernardino County, CA"	"06071"			403995	6.20%	27170067	14.87	5837666	69.20	3264.12	27.58	38.58	38.47
	"California"	"06"	"San Diego County, CA"	"06073"	"2007"	"2007"	47569	0.73%	2975742	15.99	650977	73.07	3321.27	28.21	38.75	38.57
	"California"	"06"	"San Diego County, CA"	"06073"	"2008"	"2008"	46755	0.72%	3022116	15.47	655928	71.28	3318.98	28.25	38.76	38.56
	"California"	"06"	"San Diego County, CA"	"06073"	"2009"	"2009"	44982	0.69%	3061203	14.69	660222	68.13	3317.94	28.40	38.74	38.59
	"California"	"06"	"San Diego County, CA"	"06073"	"2010"	"2010"	44867	0.69%	3095313	14.50	664981	67.47	3317.17	28.60	38.76	38.63
	"California"	"06"	"San Diego County, CA"	"06073"	"2011"	"2011"	43643	0.67%	3140069	13.90	670551	65.09	3316.16	28.81	38.79	38.68
	"California"	"06"	"San Diego County, CA"	"06073"	"2012"	"2012"	44396	0.68%	3177063	13.97	675132	65.76	3319.96	28.95	38.80	38.69
	"California"	"06"	"San Diego County, CA"	"06073"	"2013"	"2013"	43659	0.67%	3211252	13.60	679192	64.28	3312.55	29.15	38.80	38.71
	"California"	"06"	"San Diego County, CA"	"06073"	"2014"	"2014"	44596	0.68%	3263431	13.67	686916	64.92	3311.61	29.32	38.77	38.69
	"California"	"06"	"San Diego County, CA"	"06073"	"2015"	"2015"	43942	0.67%	3299521	13.32	689759	63.71	3311.12	29.55	38.76	38.69
	"California"	"06"	"San Diego County, CA"	"06073"	"2016"	"2016"	42720	0.66%	3317749	12.88	690343	61.88	3310.33	29.79	38.76	38.67
	"California"	"06"	"San Diego County, CA"	"06073"	"2017"	"2017"	41230	0.63%	3337685	12.35	693653	59.44	3307.53	29.99	38.74	38.67
	"California"	"06"	"San Diego County, CA"	"06073"	"2018"	"2018"	40070	0.62%	3343364	11.98	693588	57.77	3300.06	30.31	38.69	38.64
	"California"	"06"	"San Diego County, CA"	"06073"	"2019"	"2019"	38540	0.59%	3338330	11.54	691150	55.76	3301.97	30.42	38.66	38.61
"Total"	"California"	"06"	"San Diego County, CA"	"06073"			566969	8.71%	41582838	13.63	8802392	64.41	3313.14	29.17	38.75	38.65
	"California"	"06"	"San Francisco County, CA"	"06075"	"2007"	"2007"	9129	0.14%	778673	11.72	186380	48.98	3291.77	31.57	38.84	38.75
	"California"	"06"	"San Francisco County, CA"	"06075"	"2008"	"2008"	9106	0.14%	791152	11.51	189877	47.96	3287.43	31.65	38.81	38.73
	"California"	"06"	"San Francisco County, CA"	"06075"	"2009"	"2009"	8810	0.14%	801922	10.99	192050	45.87	3299.50	31.90	38.83	38.79
	"California"	"06"	"San Francisco County, CA"	"06075"	"2010"	"2010"	8806	0.14%	805235	10.94	192170	45.82	3292.25	32.16	38.83	38.82
	"California"	"06"	"San Francisco County, CA"	"06075"	"2011"	"2011"	8813	0.14%	812826	10.84	191685	45.98	3289.29	32.26	38.92	38.87
	"California"	"06"	"San Francisco County, CA"	"06075"	"2012"	"2012"	9075	0.14%	825863	10.99	194419	46.68	3289.58	32.45	38.87	38.80
	"California"	"06"	"San Francisco County, CA"	"06075"	"2013"	"2013"	8814	0.14%	837442	10.52	196187	44.93	3283.62	32.66	38.83	38.77
	"California"	"06"	"San Francisco County, CA"	"06075"	"2014"	"2014"	9104	0.14%	852469	10.68	199447	45.65	3271.46	32.66	38.88	38.80
	"California"	"06"	"San Francisco County, CA"	"06075"	"2015"	"2015"	8972	0.14%	864816	10.37	202342	44.34	3275.44	32.83	38.88	38.80
	"California"	"06"	"San Francisco County, CA"	"06075"	"2016"	"2016"	9062	0.14%	870887	10.41	203962	44.43	3270.46	32.97	38.84	38.77
	"California"	"06"	"San Francisco County, CA"	"06075"	"2017"	"2017"	8947	0.14%	884363	10.12	206510	43.32	3271.56	32.96	38.84	38.76
	"California"	"06"	"San Francisco County, CA"	"06075"	"2018"	"2018"	8697	0.13%	883305	9.85	205845	42.25	3272.53	33.31	38.81	38.75
	"California"	"06"	"San Francisco County, CA"	"06075"	"2019"	"2019"	8438	0.13%	881549	9.57	204690	41.22	3261.63	33.36	38.76	38.70
"Total"	"California"	"06"	"San Francisco County, CA"	"06075"			115773	1.78%	10890502	10.63	2565564	45.13	3281.34	32.51	38.84	38.78
	"California"	"06"	"San Joaquin County, CA"	"06077"	"2007"	"2007"	11600	0.18%	668080	17.36	140376	82.64	3308.32	26.91	38.63	38.59
	"California"	"06"	"San Joaquin County, CA"	"06077"	"2008"	"2008"	11030	0.17%	671692	16.42	140138	78.71	3302.81	26.94	38.61	38.53
	"California"	"06"	"San Joaquin County, CA"	"06077"	"2009"	"2009"	10876	0.17%	677736	16.05	140509	77.40	3300.01	27.05	38.67	38.61
	"California"	"06"	"San Joaquin County, CA"	"06077"	"2010"	"2010"	10596	0.16%	685306	15.46	141620	74.82	3307.10	27.32	38.69	38.61
	"California"	"06"	"San Joaquin County, CA"	"06077"	"2011"	"2011"	10329	0.16%	696214	14.84	142971	72.25	3295.19	27.51	38.66	38.56
	"California"	"06"	"San Joaquin County, CA"	"06077"	"2012"	"2012"	10129	0.16%	702612	14.42	143882	70.40	3307.85	27.61	38.70	38.58
	"California"	"06"	"San Joaquin County, CA"	"06077"	"2013"	"2013"	9800	0.15%	704379	13.91	143886	68.11	3290.35	27.87	38.64	38.52
	"California"	"06"	"San Joaquin County, CA"	"06077"	"2014"	"2014"	10113	0.16%	715597	14.13	145938	69.30	3305.84	28.06	38.67	38.55
	"California"	"06"	"San Joaquin County, CA"	"06077"	"2015"	"2015"	9983	0.15%	726106	13.75	147532	67.67	3289.01	28.26	38.69	38.55
	"California"	"06"	"San Joaquin County, CA"	"06077"	"2016"	"2016"	10268	0.16%	733709	13.99	148201	69.28	3292.64	28.49	38.71	38.56
	"California"	"06"	"San Joaquin County, CA"	"06077"	"2017"	"2017"	9928	0.15%	745424	13.32	150813	65.83	3283.18	28.62	38.61	38.50
	"California"	"06"	"San Joaquin County, CA"	"06077"	"2018"	"2018"	9841	0.15%	752660	13.07	152193	64.66	3288.08	28.89	38.68	38.55
	"California"	"06"	"San Joaquin County, CA"	"06077"	"2019"	"2019"	10009	0.15%	762148	13.13	154352	64.85	3282.39	28.92	38.65	38.51
"Total"	"California"	"06"	"San Joaquin County, CA"	"06077"			134502	2.07%	9241663	14.55	1892411	71.07	3296.66	27.85	38.66	38.56
	"California"	"06"	"San Luis Obispo County, CA"	"06079"	"2007"	"2007"	2884	0.04%	262770	10.98	50496	57.11	3367.51	27.97	38.78	38.63
	"California"	"06"	"San Luis Obispo County, CA"	"06079"	"2008"	"2008"	2739	0.04%	266358	10.28	50613	54.12	3380.25	28.21	38.96	38.75
	"California"	"06"	"San Luis Obispo County, CA"	"06079"	"2009"	"2009"	2617	0.04%	268145	9.76	50482	51.84	3384.63	28.33	38.87	38.71
	"California"	"06"	"San Luis Obispo County, CA"	"06079"	"2010"	"2010"	2735	0.04%	269637	10.14	50504	54.15	3385.51	28.45	39.00	38.76
	"California"	"06"	"San Luis Obispo County, CA"	"06079"	"2011"	"2011"	2631	0.04%	271969	9.67	51686	50.90	3356.07	28.76	38.92	38.68
	"California"	"06"	"San Luis Obispo County, CA"	"06079"	"2012"	"2012"	2580	0.04%	274804	9.39	51945	49.67	3378.05	28.64	38.96	38.71
	"California"	"06"	"San Luis Obispo County, CA"	"06079"	"2013"	"2013"	2650	0.04%	276443	9.59	52151	50.81	3357.25	29.12	38.97	38.77
	"California"	"06"	"San Luis Obispo County, CA"	"06079"	"2014"	"2014"	2596	0.04%	279083	9.30	52904	49.07	3377.95	29.30	38.97	38.85
	"California"	"06"	"San Luis Obispo County, CA"	"06079"	"2015"	"2015"	2668	0.04%	281401	9.48	53304	50.05	3367.52	29.40	38.99	38.83
	"California"	"06"	"San Luis Obispo County, CA"	"06079"	"2016"	"2016"	2581	0.04%	282887	9.12	53442	48.30	3367.71	29.58	38.87	38.75
	"California"	"06"	"San Luis Obispo County, CA"	"06079"	"2017"	"2017"	2550	0.04%	283405	9.00	53627	47.55	3371.53	30.13	38.90	38.82
	"California"	"06"	"San Luis Obispo County, CA"	"06079"	"2018"	"2018"	2445	0.04%	284010	8.61	53808	45.44	3354.12	30.08	38.75	38.64
	"California"	"06"	"San Luis Obispo County, CA"	"06079"	"2019"	"2019"	2447	0.04%	283111	8.64	53720	45.55	3331.56	30.25	38.63	38.62
"Total"	"California"	"06"	"San Luis Obispo County, CA"	"06079"			34123	0.52%	3584023	9.52	678682	50.28	3367.98	29.07	38.89	38.73
	"California"	"06"	"San Mateo County, CA"	"06081"	"2007"	"2007"	9914	0.15%	693849	14.29	140540	70.54	3309.72	30.58	38.71	38.65
	"California"	"06"	"San Mateo County, CA"	"06081"	"2008"	"2008"	9770	0.15%	703830	13.88	141358	69.12	3321.48	30.49	38.76	38.68
	"California"	"06"	"San Mateo County, CA"	"06081"	"2009"	"2009"	9452	0.15%	713617	13.25	142138	66.50	3318.05	30.79	38.74	38.70
	"California"	"06"	"San Mateo County, CA"	"06081"	"2010"	"2010"	9194	0.14%	718451	12.80	141927	64.78	3301.25	30.92	38.78	38.74
	"California"	"06"	"San Mateo County, CA"	"06081"	"2011"	"2011"	9048	0.14%	727209	12.44	142475	63.51	3306.19	31.11	38.77	38.72
	"California"	"06"	"San Mateo County, CA"	"06081"	"2012"	"2012"	9185	0.14%	739311	12.42	144635	63.50	3299.09	31.27	38.75	38.69
	"California"	"06"	"San Mateo County, CA"	"06081"	"2013"	"2013"	8824	0.14%	747373	11.81	145510	60.64	3293.67	31.46	38.81	38.72
	"California"	"06"	"San Mateo County, CA"	"06081"	"2014"	"2014"	9083	0.14%	758581	11.97	147760	61.47	3290.33	31.69	38.76	38.66
	"California"	"06"	"San Mateo County, CA"	"06081"	"2015"	"2015"	9037	0.14%	765135	11.81	148604	60.81	3273.75	31.79	38.76	38.66
	"California"	"06"	"San Mateo County, CA"	"06081"	"2016"	"2016"	8960	0.14%	764797	11.72	148597	60.30	3288.41	32.04	38.76	38.67
	"California"	"06"	"San Mateo County, CA"	"06081"	"2017"	"2017"	8585	0.13%	771410	11.13	150224	57.15	3279.04	32.30	38.75	38.65
	"California"	"06"	"San Mateo County, CA"	"06081"	"2018"	"2018"	8330	0.13%	769545	10.82	149891	55.57	3292.79	32.38	38.75	38.65
	"California"	"06"	"San Mateo County, CA"	"06081"	"2019"	"2019"	8206	0.13%	766573	10.70	149506	54.89	3276.23	32.53	38.72	38.61
"Total"	"California"	"06"	"San Mateo County, CA"	"06081"			117588	1.81%	9639681	12.20	1893165	62.11	3296.73	31.46	38.76	38.68
	"California"	"06"	"Santa Barbara County, CA"	"06083"	"2007"	"2007"	6292	0.10%	411243	15.30	89316	70.45	3338.99	27.32	38.76	38.67
	"California"	"06"	"Santa Barbara County, CA"	"06083"	"2008"	"2008"	6320	0.10%	415859	15.20	89693	70.46	3342.76	27.57	38.91	38.76
	"California"	"06"	"Santa Barbara County, CA"	"06083"	"2009"	"2009"	6041	0.09%	420356	14.37	90243	66.94	3329.74	27.48	38.83	38.71
	"California"	"06"	"Santa Barbara County, CA"	"06083"	"2010"	"2010"	5821	0.09%	423895	13.73	90521	64.31	3325.03	27.66	38.86	38.81
	"California"	"06"	"Santa Barbara County, CA"	"06083"	"2011"	"2011"	5804	0.09%	426878	13.60	91810	63.22	3334.21	27.81	38.79	38.80
	"California"	"06"	"Santa Barbara County, CA"	"06083"	"2012"	"2012"	5585	0.09%	431249	12.95	91447	61.07	3346.33	28.14	38.90	38.83
	"California"	"06"	"Santa Barbara County, CA"	"06083"	"2013"	"2013"	5755	0.09%	435697	13.21	92303	62.35	3323.01	28.21	38.79	38.70
	"California"	"06"	"Santa Barbara County, CA"	"06083"	"2014"	"2014"	5830	0.09%	440668	13.23	93708	62.21	3320.51	28.54	38.76	38.70
	"California"	"06"	"Santa Barbara County, CA"	"06083"	"2015"	"2015"	5673	0.09%	444769	12.75	94385	60.10	3302.07	28.75	38.73	38.70
	"California"	"06"	"Santa Barbara County, CA"	"06083"	"2016"	"2016"	5501	0.08%	446170	12.33	94467	58.23	3296.69	28.94	38.66	38.62
	"California"	"06"	"Santa Barbara County, CA"	"06083"	"2017"	"2017"	5531	0.08%	448150	12.34	95117	58.15	3291.98	28.94	38.66	38.58
	"California"	"06"	"Santa Barbara County, CA"	"06083"	"2018"	"2018"	5268	0.08%	446527	11.80	94864	55.53	3310.64	29.15	38.62	38.60
	"California"	"06"	"Santa Barbara County, CA"	"06083"	"2019"	"2019"	5537	0.09%	446499	12.40	95052	58.25	3299.43	29.37	37.85	38.58
"Total"	"California"	"06"	"Santa Barbara County, CA"	"06083"			74958	1.15%	5637960	13.30	1202926	62.31	3320.71	28.27	38.71	38.70
	"California"	"06"	"Santa Clara County, CA"	"06085"	"2007"	"2007"	27490	0.42%	1712026	16.06	371068	74.08	3291.49	29.81	38.77	38.63
	"California"	"06"	"Santa Clara County, CA"	"06085"	"2008"	"2008"	26731	0.41%	1740964	15.35	374385	71.40	3295.62	29.91	38.78	38.60
	"California"	"06"	"Santa Clara County, CA"	"06085"	"2009"	"2009"	25203	0.39%	1765137	14.28	376067	67.02	3285.23	30.08	38.74	38.62
	"California"	"06"	"Santa Clara County, CA"	"06085"	"2010"	"2010"	23940	0.37%	1781642	13.44	376519	63.58	3286.26	30.22	38.76	38.67
	"California"	"06"	"Santa Clara County, CA"	"06085"	"2011"	"2011"	23649	0.36%	1809378	13.07	378121	62.54	3290.13	30.35	38.76	38.68
	"California"	"06"	"Santa Clara County, CA"	"06085"	"2012"	"2012"	24308	0.37%	1837504	13.23	382066	63.62	3285.10	30.64	38.75	38.67
	"California"	"06"	"Santa Clara County, CA"	"06085"	"2013"	"2013"	23313	0.36%	1862041	12.52	384049	60.70	3279.07	30.81	38.75	38.66
